WYBÓR 	WYBÓRC 	WYBÓRD 	Identyfikator 	Indeks 	Asortyment 	Cena brutto 	jm 	Cena jednostki 	Cena opakowania 	PUSTY0 	Ident. 	S_Indeks 	S_Identyfikator 	S_Asortyment 	S_Cena brutto 	PUSTY1 
45	1.0240400000001575	3.0014900000000098	TECZKA GUMK.A4 BIA£A	2251	BIUROWE	0,79	szt			stara cena 0.85	10481	2251	TECZKA GUMK.A4 BIA£A	BIUROWE	0,85	
46	1.0244400000001601	3.0018900000000124	TECZKA GUM.1,5CM KONFEX08	5904720070068	BIUROWE	5,1	szt			stara cena 5.25	18815	5904720070068	TECZKA GUM.1,5CM KONFEX08	BIUROWE	5,25	
47	1.0244900000001604	3.0019400000000127	TECZKA FOLDERMATE CB-233	CB-233	BIUROWE	15,99	szt			obni¿ka -11%	22645	CB-233	TECZKA FOLDERMATE CB-233	BIUROWE	17,99	
48	1.0245200000001606	3.001970000000013	TECZKA D/P. 8K DELFIN KOLOR	5901445821258	BIUROWE	12,99	szt			stara cena 13.49	27326	5901445821258	TECZKA D/P. 8K DELFIN KOLOR	BIUROWE	13,49	
49	1.0245500000001608	3.002000000000013	TECZKA AKT OSOB.FOLPRIM-SKOROSZYT	2560	BIUROWE	3,35	szt			stara cena 3.49	13940	2560	TECZKA AKT OSOB.FOLPRIM-SKOROSZYT	BIUROWE	3,49	
50	1.024580000000161	3.0020300000000133	TECZKA AKADEMICKA VAUPE	5904287314018	BIUROWE	6,99	szt			stara cena 7.20	10699	5904287314018	TECZKA AKADEMICKA VAUPE	BIUROWE	7,2	
51	1.024880000000163	3.0023300000000153	TAŒMA PANAS.P160 ORG.	092281052182	KOMPUTER	46,13	szt			=	22685	92281052182	TAŒMA PANAS.P160 ORG.	KOMPUTER	46,13	
51.000330000000105	1.0252100000001652	4	TAŒMA KLEJ¥CA 24/20	2724	BIUROWE	0,9	szt			=	10064	2724	TAŒMA KLEJ¥CA 24/20	BIUROWE	0,9	
52	1.0254600000001668	4.0002499999999905	TAŒMA CITIZEN DP600/610 LAMBDA	5902454120325	KOMPUTER	12,5	szt			=	11377	5902454120325	TAŒMA CITIZEN DP600/610 ZAMIENNIK	KOMPUTER	12,5	
53	1.0277400000001817	4.002529999999904	TABLICA KORKOWA  30X40	5906961406187	BIUROWE	8,0	szt			obni¿ka -11%	29307	5906961406187	TABLICA KORKOWA  30X40	BIUROWE	8,99	
54	1.0297300000001948	4.004519999999829	SZPILKI KRÓTKIE 30G	014600001114	BIUROWE	6,99	op			=	21268	14600001114	SZPILKI KRÓTKIE 30G	BIUROWE	6,99	
55	1.030080000000197	4.004869999999816	SZKICOWNIK ART.A5 KRESKA	5905824200030	SZKOLNE	4,7	szt			stara cena 4.90	29913	5905824200030	SZKICOWNIK ART.A5 KRESKA	SZKOLNE	4,9	
56	1.032350000000212	4.00713999999973	SZABLON S.164367 F.RYBY	5907604601051	SZKOLNE	3,3	szt			.	15466	5907604601051	SZABLON S.164367 F.RYBY	SZKOLNE	3,1	
57	1.032360000000212	4.007149999999729	SZABLON S.164183 ¯.RYBY	5907604600931	SZKOLNE	3,3	szt			.	24191	5907604600931	SZABLON S.164183 ¯.RYBY	SZKOLNE	3,1	
58	1.032370000000212	4.007159999999729	SZABLON S.164182 N.RYBY	5907604600924	SZKOLNE	3,4	szt			.	22137	5907604600924	SZABLON S.164182 N.RYBY	SZKOLNE	3,1	
59	1.0351900000002305	4.009979999999622	SKOROSZYT OCZKOWY 1/2	2552	BIUROWE	0,65	szt			stara cena 0.70	12074	2552	SKOROSZYT OCZKOWY 1/2	BIUROWE	0,7	
60	1.035260000000231	4.0100499999996195	SKOROSZYT A4 N.ZWYK£Y	2551	BIUROWE	0,54	szt			stara cena 0.59	10479	2551	SKOROSZYT A4 N.ZWYK£Y	BIUROWE	0,59	
61	1.0366700000002402	4.011459999999566	SEGREG.A5/8 ESS.CZARNY	4049793007700	BIUROWE	10,5	szt			stara cena 10.99	26225	4049793007700	SEGREG.A5/8 ESS.CZARNY	BIUROWE	10,99	
62	1.0366800000002403	4.011469999999566	SEGREG.A5/8 ESS,CZERW.	4049793007670	BIUROWE	10,5	szt			stara cena 10.99	13474	4049793007670	SEGREG.A5/8 ESS,CZERW.	BIUROWE	10,99	
